Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,449,65,10/03/2025,OKC,,DEN,"L, 127-140",*,36:13:00,8,14,0.571,3,7,0.429,5,7,0.714,0.679,6,6,1,1,2,3,7,1,2,3,2,25,23.2,-18
64,450,66,12/03/2025,OKC,@,BOS,"W, 118-112",*,38:35:00,11,20,0.55,2,7,0.286,9,13,0.692,0.6,10,11,0.909,1,4,5,7,1,0,5,3,34,25.6,3
65,451,67,15/03/2025,OKC,@,DET,"W, 113-107",*,37:55:00,17,26,0.654,4,6,0.667,13,20,0.65,0.731,10,10,1,0,4,4,6,3,1,2,1,48,43.3,18
66,452,68,16/03/2025,OKC,@,MIL,"W, 121-105",*,33:35:00,11,27,0.407,0,5,0,11,22,0.5,0.407,9,11,0.818,1,1,2,8,0,1,1,1,31,21.6,8
66,,69,19/03/2025,OKC,,PHI,"W, 133-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
67,453,70,21/03/2025,OKC,,CHO,"W, 141-106",*,29:36:00,13,18,0.722,2,2,1,11,16,0.688,0.778,2,2,1,0,6,6,9,1,0,1,2,30,29.9,31
68,454,71,23/03/2025,OKC,@,LAC,"W, 103-101",*,37:19:00,7,29,0.241,1,7,0.143,6,22,0.273,0.259,11,11,1,0,3,3,8,2,2,1,2,26,16.6,0
69,455,72,25/03/2025,OKC,@,SAC,"W, 121-105",*,32:56:00,10,23,0.435,3,6,0.5,7,17,0.412,0.5,9,10,0.9,0,8,8,5,0,0,5,2,32,19.6,13
70,456,73,27/03/2025,OKC,,MEM,"W, 125-104",*,33:35:00,15,25,0.6,0,2,0,15,23,0.652,0.6,7,9,0.778,0,3,3,6,3,0,0,0,37,32.8,26
71,457,74,29/03/2025,OKC,,IND,"W, 132-111",*,31:11:00,10,23,0.435,3,6,0.5,7,17,0.412,0.5,10,12,0.833,3,4,7,8,1,0,0,2,33,29.2,17
72,458,75,31/03/2025,OKC,,CHI,"W, 145-117",*,27:16:00,9,14,0.643,2,2,1,7,12,0.583,0.714,7,7,1,0,0,0,12,0,2,2,0,27,28.6,29
73,459,76,2/04/2025,OKC,,DET,"W, 119-103",*,35:23:00,10,26,0.385,2,7,0.286,8,19,0.421,0.423,11,12,0.917,2,4,6,3,3,2,1,1,33,26.1,30
74,460,77,4/04/2025,OKC,@,HOU,"L, 111-125",*,35:02:00,10,22,0.455,1,6,0.167,9,16,0.563,0.477,1,2,0.5,1,3,4,8,3,0,3,2,22,16.6,-6
75,461,78,6/04/2025,OKC,,LAL,"L, 99-126",*,30:26:00,12,23,0.522,2,5,0.4,10,18,0.556,0.565,0,0,,0,3,3,9,1,1,1,1,26,22.2,-20
76,462,79,8/04/2025,OKC,,LAL,"W, 136-120",*,36:32:00,14,26,0.538,5,9,0.556,9,17,0.529,0.635,9,11,0.818,1,5,6,6,0,1,1,5,42,32.7,7
76,,80,9/04/2025,OKC,@,PHO,"W, 125-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,81,11/04/2025,OKC,@,UTA,"W, 145-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
76,,82,13/04/2025,OKC,@,NOP,"W, 115-100",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63-13,76,2597,860,1656,0.519,163,435,0.375,697,1221,0.571,0.569,601,669,0.898,67,312,379,486,131,77,183,164,2484,27.1,918
